ticker,fy,fye_month,mktcap_b,net_cash_b,revenue_b,gross_margin,op_margin,fcf_margin,rev_growth,price_fye
AAPL,2007,Sep,132.6894,9.3520,24.0060,0.3397,0.1837,0.1972,,4.5942
AAPL,2008,Sep,113.0554,22.1110,32.4790,0.3431,0.1932,0.2619,0.3530,3.8389
AAPL,2009,Sep,164.2567,23.4640,36.5370,0.3596,0.2096,0.2467,0.1249,5.4593
AAPL,2010,Sep,268.1472,25.6200,65.2250,0.3938,0.2819,0.2544,0.7852,8.7507
AAPL,2011,Sep,375.7601,25.9520,108.2490,0.4048,0.3122,0.3073,0.6596,12.1029
AAPL,2012,Sep,627.5357,29.1290,156.5080,0.4387,0.3530,0.2719,0.4458,20.0557
AAPL,2013,Sep,434.3485,23.5860,170.9100,0.3762,0.2867,0.2662,0.0920,14.8592
AAPL,2014,Sep,590.8826,-3.9100,182.7950,0.3859,0.2872,0.2743,0.0695,22.1978
AAPL,2015,Sep,639.5462,-14.3620,233.7150,0.4006,0.3048,0.2996,0.2786,25.7055
AAPL,2016,Sep,601.0050,-11.7720,215.6390,0.3908,0.2784,0.2462,-0.0773,25.7974
AAPL,2017,Sep,791.3001,-29.5220,229.2340,0.3847,0.2676,0.2231,0.0630,35.8977
AAPL,2018,Sep,1071.2262,-36.2180,265.5950,0.3834,0.2669,0.2414,0.1586,53.3744
AAPL,2019,Sep,972.2753,-1.5100,260.1740,0.3782,0.2457,0.2264,-0.0204,52.5411
AAPL,2020,Sep,1908.9623,-16.4970,274.5150,0.3823,0.2415,0.2673,0.0551,108.9086
AAPL,2021,Sep,2410.4278,-56.0800,365.8170,0.4178,0.2978,0.2541,0.3326,143.4251
AAPL,2022,Sep,2393.0581,-61.7830,394.3280,0.4331,0.3029,0.2826,0.0779,147.6745
AAPL,2023,Sep,2662.7868,-43.5480,383.2850,0.4413,0.2982,0.2598,-0.0280,169.0710
AAPL,2024,Sep,3443.2332,-31.4910,391.0350,0.4621,0.3151,0.2783,0.0202,226.0951
AAPL,2025,Sep,3774.7672,-35.9810,416.1610,0.4691,0.3197,0.2373,0.0643,254.7393
ABNB,2019,Dec,,2.0135,4.8052,0.7510,-0.1044,0.0202,,
ABNB,2020,Dec,41.7445,4.5657,3.3782,0.7407,-1.0627,-0.1975,-0.2970,146.8000
ABNB,2021,Dec,102.5397,6.3225,5.9918,0.8071,0.0717,0.3612,0.7737,166.4900
ABNB,2022,Dec,54.4635,7.6350,8.3990,0.8215,0.2145,0.4054,0.4018,85.5000
ABNB,2023,Dec,86.7212,8.0800,9.9170,0.8283,0.1531,,0.1807,136.1400
ABNB,2024,Dec,83.0511,8.6160,11.1020,0.8308,0.2300,,0.1195,131.4100
ABNB,2025,Dec,83.1964,9.0150,12.2410,0.8296,0.2078,,0.1026,135.7200
ADBE,2007,Nov,24.6183,0.9464,3.1579,0.8877,0.2716,0.4145,,42.1400
ADBE,2008,Nov,12.4919,1.6692,3.5799,0.8987,0.2872,0.3265,0.1336,23.1600
ADBE,2009,Nov,18.6248,0.9045,2.9459,0.8993,0.2344,0.3388,-0.1771,35.3800
