ticker,fy,fye_month,mktcap_b,net_cash_b,revenue_b,gross_margin,op_margin,fcf_margin,rev_growth,price_fye
AAPL,2007,Sep,,9.3520,24.0060,0.3397,0.1837,0.1972,,
AAPL,2008,Sep,,22.1110,32.4790,0.3431,0.1932,0.2619,0.3530,
AAPL,2009,Sep,,23.4640,36.5370,0.3596,0.2096,0.2467,0.1249,
AAPL,2010,Sep,,25.6200,65.2250,0.3938,0.2819,0.2544,0.7852,
AAPL,2011,Sep,,25.9520,108.2490,0.4048,0.3122,0.3073,0.6596,
AAPL,2012,Sep,,29.1290,156.5080,0.4387,0.3530,0.2719,0.4458,
AAPL,2013,Sep,,23.5860,170.9100,0.3762,0.2867,0.2662,0.0920,
AAPL,2014,Sep,,-3.9100,182.7950,0.3859,0.2872,0.2743,0.0695,
AAPL,2015,Sep,,-14.3620,233.7150,0.4006,0.3048,0.2996,0.2786,
AAPL,2016,Sep,,-11.7720,215.6390,0.3908,0.2784,0.2462,-0.0773,
AAPL,2017,Sep,,-29.5220,229.2340,0.3847,0.2676,0.2231,0.0630,
AAPL,2018,Sep,,-36.2180,265.5950,0.3834,0.2669,0.2414,0.1586,
AAPL,2019,Sep,,-1.5100,260.1740,0.3782,0.2457,0.2264,-0.0204,
AAPL,2020,Sep,,-16.4970,274.5150,0.3823,0.2415,0.2673,0.0551,
AAPL,2021,Sep,,-56.0800,365.8170,0.4178,0.2978,0.2541,0.3326,
AAPL,2022,Sep,,-61.7830,394.3280,0.4331,0.3029,0.2826,0.0779,
AAPL,2023,Sep,,-43.5480,383.2850,0.4413,0.2982,0.2598,-0.0280,
AAPL,2024,Sep,,-31.4910,391.0350,0.4621,0.3151,0.2783,0.0202,
AAPL,2025,Sep,,-35.9810,416.1610,0.4691,0.3197,0.2373,0.0643,
ABNB,2019,Dec,,2.0135,4.8052,0.7510,-0.1044,0.0202,,
ABNB,2020,Dec,,4.5657,3.3782,0.7407,-1.0627,-0.1975,-0.2970,
