ticker,date,ai,fwd_1q,fwd_1y,fwd_3y
A,2009-12-31,0.0238,0.1069,0.3334,0.3308
A,2010-03-31,0.0238,-0.1733,0.3021,0.2361
A,2010-06-30,0.0238,0.1738,0.7977,0.5277
A,2010-09-30,0.0238,0.2415,-0.0635,0.5636
A,2010-12-31,0.0238,0.0809,-0.1569,0.4086
A,2011-03-31,0.0238,0.1414,-0.0038,0.2743
A,2011-12-31,2.1846,0.2771,0.1838,0.6838
A,2012-03-31,2.8581,-0.1161,-0.0471,0.3446
A,2012-06-30,2.4876,-0.0176,0.1014,0.416
A,2012-09-30,2.4321,0.0674,0.3468,0.2863
A,2012-12-31,3.6942,0.0281,0.4113,0.4716
A,2013-03-31,3.7871,0.0217,0.3423,0.3643
A,2013-06-30,3.8584,0.2013,0.3559,0.4948
A,2013-09-30,4.6245,0.1185,0.1222,0.3241
A,2013-12-31,5.1605,-0.0222,0.0078,0.1487
A,2014-03-31,5.0459,0.032,0.0512,0.3667
A,2015-12-31,6.6666,-0.0469,0.1016,0.6611
A,2016-03-31,6.3461,0.1193,0.3446,1.0766
A,2016-06-30,7.0837,0.0642,0.3506,0.7269
A,2016-09-30,7.5302,-0.0297,0.3737,0.6727
A,2016-12-31,7.2799,0.1633,0.4832,0.9231
A,2017-03-31,8.4755,0.1243,0.2736,0.3914
A,2018-12-31,6.6317,0.1915,0.2754,1.416
A,2019-03-31,7.9288,-0.0691,-0.0991,0.6829
A,2019-06-30,7.3556,0.0307,0.1967,0.6252
A,2019-09-30,7.5523,0.1156,0.3262,0.6165
A,2019-12-31,8.9632,-0.1583,0.3979,0.7897
A,2020-03-31,7.5785,0.2365,0.7851,0.9657
A,2020-06-30,9.2727,0.1422,0.6809,0.3868
A,2020-09-30,10.5442,0.176,0.5705,0.129
A,2020-12-31,12.3473,0.0748,0.3551,0.198
A,2021-03-31,13.2265,0.1643,0.0465,0.1667
A,2021-06-30,15.3274,0.0672,-0.1921,-0.1059
A,2021-09-30,16.3153,0.0147,-0.2238,-0.0386
A,2021-12-31,10.83,-0.17,-0.0552,-0.1398
A,2022-03-31,9.0234,-0.1011,0.0523,-0.0975
A,2022-06-30,8.1267,0.0252,0.0211,0.015
A,2022-09-30,8.3105,0.2352,-0.0738,0.0812
A,2022-12-31,10.7064,-0.0756,-0.0642,-0.072
A,2023-03-31,9.9268,-0.1277,0.0595,-0.1557
A,2023-06-30,8.6799,-0.0701,0.0838,
A,2023-09-30,8.0988,0.248,0.3374,
A,2023-12-31,12.1394,0.0466,-0.027,
A,2024-03-31,12.6897,-0.1077,-0.1905,
A,2024-06-30,11.3411,0.1475,-0.0829,
A,2024-09-30,12.942,-0.0921,-0.1272,
A,2024-12-31,12.513,,0.0192,
AAPL,2009-12-31,9.3948,0.1152,0.5307,1.5478
AAPL,2010-03-31,10.6295,0.0703,0.483,0.9115
AAPL,2010-06-30,11.4704,0.1281,0.3345,0.6103
AAPL,2010-09-30,13.1095,0.1368,0.3439,0.7276
AAPL,2010-12-31,3.5147,0.0804,0.2556,0.7988
AAPL,2011-03-31,3.8242,-0.0368,0.7203,0.6023
AAPL,2011-06-30,3.671,0.136,0.7398,1.0275
AAPL,2011-09-30,4.2156,0.0621,0.757,0.9446
AAPL,2011-12-31,3.0416,0.4804,0.3257,1.0146
AAPL,2012-03-31,4.6109,-0.0259,-0.2508,0.5402
AAPL,2012-06-30,4.4855,0.1472,-0.3064,0.6005
AAPL,2012-09-30,5.1558,-0.1986,-0.2683,0.2324
AAPL,2012-12-31,3.4058,-0.1634,0.0807,0.4739
AAPL,2013-03-31,2.7975,-0.0983,0.2432,0.834
AAPL,2013-06-30,2.4841,0.2102,0.6803,0.7949
AAPL,2013-09-30,3.0292,0.1836,0.5127,0.7633
AAPL,2013-12-31,6.0125,-0.0376,0.4062,0.5341
AAPL,2014-03-31,5.7395,0.2187,0.6536,0.9856
AAPL,2014-06-30,0.75,0.0895,0.3734,0.6401
AAPL,2014-09-30,0.838,0.1003,0.1135,0.6172
AAPL,2014-12-31,7.8232,0.1317,-0.0301,0.6196
AAPL,2015-03-31,8.813,0.0122,-0.1078,0.4246
AAPL,2015-06-30,8.8835,-0.1166,-0.2222,0.5587
AAPL,2015-09-30,7.8176,-0.0416,0.0468,1.1594
