ticker,date,ai,fwd_1q,fwd_1y,fwd_3y
AAP,2011-03-31,1.5603,-0.1077,0.3545,0.9459
AAP,2011-06-30,1.3983,-0.0057,0.1703,1.3272
AAP,2011-09-30,1.3894,0.1995,0.1819,1.2614
AAP,2011-12-31,1.6515,0.2729,0.0425,1.3054
AAP,2012-03-31,2.082,-0.2291,-0.0637,0.7029
AAP,2012-06-30,1.6194,0.0041,0.1936,1.3514
AAP,2013-03-31,1.7973,-0.0172,0.5344,0.9511
AAP,2013-06-30,1.7651,0.0194,0.666,1.002
AAP,2013-09-30,1.7979,0.3394,0.579,0.8127
AAP,2013-12-31,2.4061,0.1435,0.4417,0.5354
AAP,2014-03-31,2.5789,0.0671,0.1853,0.1776
AAP,2014-06-30,2.7516,-0.0338,0.1825,-0.1317
AAP,2014-09-30,2.6568,0.2229,0.4567,-0.2349
AAP,2014-12-31,3.2514,-0.0598,-0.0536,-0.3709
AAP,2015-03-31,3.0547,0.0645,0.0728,-0.2038
AAP,2015-06-30,3.2516,0.1902,0.0162,-0.1435
AAP,2019-03-31,2.7922,-0.0958,-0.4506,0.2526
AAP,2019-06-30,2.527,0.0735,-0.071,0.1687
AAP,2019-09-30,2.7092,-0.0313,-0.0659,-0.0079
AAP,2019-12-31,2.6244,-0.4157,-0.009,-0.0266
AAP,2020-03-31,1.5485,0.529,0.9785,0.3779
AAP,2020-06-30,2.3242,0.0793,0.454,-0.4726
AAP,2020-09-30,2.4987,0.0277,0.3785,-0.6098
AAP,2020-12-31,2.562,0.1665,0.5468,-0.5837
AAP,2021-03-31,2.9723,0.1237,0.1523,-0.5004
AAP,2021-06-30,3.3141,0.0232,-0.1348,-0.668
AAP,2022-03-31,2.2169,-0.1563,-0.3956,-0.7963
AAP,2022-06-30,1.8661,-0.0887,-0.5807,-0.7115
AAP,2022-09-30,1.6926,-0.0496,-0.6327,-0.5801
AAP,2022-12-31,1.5962,-0.1729,-0.5762,-0.7158
AAP,2023-03-31,1.3329,-0.4147,-0.2826,-0.536
AAP,2023-06-30,0.8015,-0.2016,-0.0848,
AAP,2024-03-31,1.3752,-0.2533,-0.5301,
AAP,2024-06-30,1.1064,-0.3818,-0.248,
AAP,2024-09-30,0.8058,0.221,0.6134,
AAP,2024-12-31,0.9083,,-0.1501,
AAPL,2009-12-31,9.3948,0.1152,0.5307,1.5478
AAPL,2010-03-31,10.6295,0.0703,0.483,0.9115
AAPL,2010-06-30,11.4704,0.1281,0.3345,0.6103
AAPL,2010-09-30,13.1095,0.1368,0.3439,0.7276
AAPL,2010-12-31,3.5147,0.0805,0.2556,0.7988
AAPL,2011-03-31,3.8242,-0.0368,0.7203,0.6023
AAPL,2011-06-30,3.671,0.136,0.7398,1.0275
AAPL,2011-09-30,4.2156,0.0621,0.757,0.9446
AAPL,2011-12-31,3.0416,0.4804,0.3257,1.0146
AAPL,2012-03-31,4.6109,-0.0259,-0.2508,0.5402
AAPL,2012-06-30,4.4855,0.1472,-0.3064,0.6005
AAPL,2012-09-30,5.1558,-0.1986,-0.2683,0.2324
AAPL,2012-12-31,3.4058,-0.1634,0.0807,0.4739
AAPL,2013-03-31,2.7975,-0.0983,0.2432,0.834
AAPL,2013-06-30,2.4841,0.2102,0.6803,0.7949
AAPL,2013-09-30,3.0292,0.1836,0.5127,0.7633
AAPL,2013-12-31,6.0125,-0.0376,0.4062,0.5341
AAPL,2014-03-31,5.7395,0.2187,0.6536,0.9856
AAPL,2014-06-30,0.75,0.0895,0.3734,0.6401
AAPL,2014-09-30,0.838,0.1003,0.1135,0.6172
AAPL,2014-12-31,7.8232,0.1317,-0.0301,0.6196
AAPL,2015-03-31,8.813,0.0122,-0.1078,0.4246
AAPL,2015-06-30,8.8835,-0.1166,-0.2222,0.5587
AAPL,2015-09-30,7.8176,-0.0416,0.0468,1.1594
AAPL,2015-12-31,3.7877,0.0411,0.1248,0.5799
AAPL,2016-03-31,3.9187,-0.1175,0.346,0.8353
AAPL,2016-06-30,3.4484,0.1889,0.5353,1.1754
AAPL,2016-09-30,4.0613,0.0298,0.3873,1.0783
AAPL,2016-12-31,4.1586,0.2458,0.4846,1.6541
AAPL,2017-03-31,5.1365,0.0066,0.1864,0.8494
AAPL,2018-12-31,12.6195,0.2094,0.8896,3.6384
AAPL,2019-03-31,15.1608,0.046,0.3562,2.7763
AAPL,2019-06-30,15.7896,0.1359,0.8652,1.831
AAPL,2019-09-30,17.8449,0.315,1.0888,1.5228
AAPL,2019-12-31,14.0336,-0.132,0.8231,0.8066
AAPL,2020-03-31,12.1548,0.4385,0.9363,1.6455
AAPL,2020-06-30,17.43,0.2721,0.5119,1.1663
AAPL,2020-09-30,5.5444,0.1477,0.2297,0.5051
AAPL,2020-12-31,18.9234,-0.0781,0.3465,0.4766
AAPL,2021-03-31,17.4312,0.1231,0.438,0.4283
AAPL,2021-06-30,19.528,0.0347,0.004,0.5641
AAPL,2021-09-30,20.1707,0.2567,-0.0178,0.6742
AAPL,2021-12-31,10.8172,-0.0154,-0.264,0.4334
AAPL,2022-03-31,10.6403,-0.2158,-0.0499,0.2928
AAPL,2022-06-30,8.3757,0.0122,0.4272,0.5247
AAPL,2022-09-30,8.4641,-0.0583,0.2462,0.8716
AAPL,2022-12-31,10.5636,0.2711,0.4901,1.1239
AAPL,2023-03-31,13.3242,0.1779,0.0455,0.5614
AAPL,2023-06-30,15.6191,-0.1161,0.0916,
AAPL,2023-09-30,13.8223,0.126,0.3679,
AAPL,2023-12-31,19.1771,-0.1082,0.3071,
AAPL,2024-03-31,17.1104,0.2299,0.3015,
AAPL,2024-06-30,20.9531,0.1075,-0.0213,
AAPL,2024-09-30,23.1503,0.0759,0.0979,
AAPL,2024-12-31,20.2386,,0.0905,
ABG,2012-03-31,1.1195,-0.1226,0.3589,2.0778
ABG,2012-06-30,1.0305,0.1798,0.6927,2.8252
ABG,2012-09-30,1.1451,0.146,0.9034,1.9034
ABG,2012-12-31,1.2548,0.1455,0.6778,1.1055
ABG,2013-03-31,1.385,0.0929,0.5075,0.631
ABG,2013-06-30,1.4768,0.3267,0.7142,0.3152
ABG,2013-09-30,1.8296,0.0102,0.2109,0.0464
ABG,2013-12-31,1.8442,0.0292,0.4127,0.1481
ABG,2014-03-31,1.3456,0.2428,0.5024,0.0866
ABG,2014-06-30,1.5928,-0.0628,0.3183,-0.1773
ABG,2014-09-30,1.5133,0.1785,0.2597,-0.0515
ABG,2014-12-31,1.7249,0.0946,-0.1117,-0.157
ABG,2015-03-31,1.9271,0.0905,-0.2799,-0.1877
ABG,2015-06-30,2.0604,-0.1045,-0.418,-0.2435
ABG,2015-09-30,1.8925,-0.1689,-0.314,-0.1528
ABG,2015-12-31,1.6494,-0.1127,-0.0851,-0.0116
ABG,2016-03-31,1.3059,-0.1186,0.0043,0.1591
ABG,2016-06-30,1.212,0.0556,0.0722,0.5992
ABG,2016-09-30,1.2507,0.1083,0.0975,0.8382
ABG,2016-12-31,1.3305,-0.0259,0.0373,0.8118
ABG,2017-03-31,2.2057,-0.0591,0.1231,-0.081
ABG,2017-06-30,2.1306,0.0805,0.2122,0.3675
ABG,2017-09-30,2.2269,0.0475,0.1252,0.5949
ABG,2017-12-31,2.2883,0.0547,0.0416,1.2772
ABG,2018-03-31,2.3238,0.0156,0.0276,1.9111
ABG,2018-06-30,2.3461,0.0029,0.2303,1.4999
ABG,2018-09-30,2.3504,-0.0304,0.4884,1.8617
ABG,2018-12-31,2.306,0.0405,0.677,1.5912
ABG,2019-03-31,1.4582,0.216,-0.2037,1.3097
ABG,2019-06-30,1.6469,0.2133,-0.0831,1.0078
ABG,2019-09-30,1.8735,0.0924,-0.0477,0.4766
ABG,2019-12-31,1.9926,-0.5059,0.3037,0.6035
ABG,2020-03-31,1.3152,0.4001,2.5578,2.8023
ABG,2020-06-30,1.5952,0.2602,1.2161,2.109
ABG,2020-09-30,1.8502,0.4955,1.0189,1.3609
ABG,2020-12-31,2.4622,0.3483,0.1852,0.5436
ABG,2021-03-31,4.3626,-0.1279,-0.1847,0.1999
ABG,2021-06-30,3.9387,0.148,-0.0118,0.3297
ABG,2021-09-30,4.3667,-0.122,-0.232,0.2127
ABG,2021-12-31,3.9616,-0.0725,0.0377,0.407
ABG,2022-03-31,1.2613,0.0571,0.3109,0.3785
ABG,2022-06-30,1.299,-0.1077,0.4197,0.4086
ABG,2022-09-30,1.2239,0.1863,0.5226,0.6178
ABG,2022-12-31,1.3397,0.1715,0.2551,0.2972
ABG,2023-03-31,0.641,0.1449,0.1228,-0.0695
ABG,2023-06-30,0.6965,-0.043,-0.0522,
ABG,2023-09-30,0.6776,-0.0222,0.037,
ABG,2023-12-31,0.6683,0.0481,0.0803,
ABG,2024-03-31,3.7149,-0.0335,-0.0634,
ABG,2024-06-30,3.6399,0.047,0.0468,
ABG,2024-09-30,3.7416,0.0186,0.0246,
ABG,2024-12-31,3.7837,,-0.0432,
ACA,2019-03-31,5.8217,0.2338,0.3081,0.8996
ACA,2019-06-30,7.097,-0.0896,0.1273,0.2499
ACA,2019-09-30,6.4809,0.3042,0.2954,0.6927
ACA,2019-12-31,8.3434,-0.107,0.2387,0.2345
ACA,2020-03-31,2.7002,0.0632,0.645,0.6069
ACA,2020-06-30,2.8798,0.0461,0.3974,0.816
ACA,2020-09-30,3.0178,0.2472,0.142,0.6484
ACA,2020-12-31,3.8093,0.1859,-0.0373,0.5202
ACA,2021-03-31,5.4597,-0.0968,-0.1172,0.3327
ACA,2021-06-30,4.9527,-0.1451,-0.2066,0.4343
ACA,2021-09-30,4.2685,0.0515,0.1443,0.9072
ACA,2021-12-31,4.4705,0.0874,0.0351,0.8528
ACA,2022-03-31,7.1413,-0.1883,0.1065,0.359
ACA,2022-06-30,6.0344,0.2329,0.6379,0.8835
ACA,2022-09-30,7.1342,-0.0489,0.2615,0.652
ACA,2022-12-31,6.8436,0.1624,0.5254,0.9716
ACA,2023-03-31,5.3026,0.2016,0.3643,0.694
ACA,2023-06-30,6.246,-0.0505,0.1037,
ACA,2023-09-30,5.9576,0.1502,0.3213,
ACA,2023-12-31,6.7578,0.0396,0.1734,
ACA,2024-03-31,9.0712,-0.0279,-0.0998,
ACA,2024-06-30,8.8382,0.1367,0.0419,
ACA,2024-09-30,9.9173,0.0214,-0.0089,
ACA,2024-12-31,10.1056,,0.1015,
ACAD,2019-03-31,9.5932,-0.0045,0.5736,-0.098
